kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs.1.sm_30.ptx 63 : 65536 744363 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 64 : 65536 832416 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 65 : 65536 956016 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 66 : 65536 1813640 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 67 : 65536 9592699 0 0 0 38821 8358 0 0 
bfs.1.sm_30.ptx 68 : 65536 961188 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 69 : 65536 1118820 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 70 : 65536 902438 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 71 : 65536 1095018 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 74 : 393216 170732485 0 0 0 367332 73417 0 0 
bfs.1.sm_30.ptx 75 : 393216 3492957 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 76 : 393216 5572415 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 77 : 393216 250454071 0 0 0 392389 73417 0 0 
